activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,33,auto,8,21,nnClassifier,9,7,adam,distance,0.3058608058608059,1787.4147559059784
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,46,auto,6,12,nnClassifier,8,6,adam,distance,0.3058608058608059,1787.4148276839405
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,68,auto,15,13,nnClassifier,10,7,adam,distance,0.304029304029304,1787.41488368297
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,73,auto,6,16,nnClassifier,7,9,adam,distance,0.3058608058608059,1787.4149394219276
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,69,auto,8,20,nnClassifier,10,7,adam,distance,0.315018315018315,1787.414994580904
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,52,auto,4,12,nnClassifier,10,5,adam,distance,0.3058608058608059,1787.415049460018
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,53,auto,13,5,nnClassifier,10,6,adam,distance,0.2948717948717949,1787.4151041291188
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,50,auto,12,19,nnClassifier,8,8,adam,distance,0.30036630036630035,1787.4151590680704
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,23,auto,9,19,nnClassifier,8,5,adam,distance,0.304029304029304,1787.4152141660452
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,28,auto,11,4,nnClassifier,10,8,adam,distance,0.3058608058608059,1787.4152688251343
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,56,auto,6,15,nnClassifier,10,9,adam,distance,0.304029304029304,1787.4153235540725
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,41,auto,10,14,nnClassifier,8,5,adam,distance,0.30036630036630035,1787.4153781831264
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,51,auto,9,23,nnClassifier,10,8,adam,distance,0.30036630036630035,1787.4154328820296
relu,auto,23,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,45,auto,7,18,nnClassifier,10,6,adam,distance,0.3131868131868132,1787.4154872510117
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,45,auto,14,21,nnClassifier,10,7,adam,distance,0.3131868131868132,1787.4155417301226
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,22,auto,10,13,nnClassifier,10,7,adam,distance,0.3131868131868132,1787.415606468916
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,69,auto,14,17,nnClassifier,10,4,adam,distance,0.3058608058608059,1787.4156609170604
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,24,auto,6,15,nnClassifier,10,4,adam,distance,0.304029304029304,1787.4157152860425
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,20,auto,6,12,nnClassifier,10,6,adam,distance,0.3076923076923077,1787.4157694750465
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,59,auto,10,12,nnClassifier,9,6,adam,distance,0.3021978021978022,1787.415834054118
